,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29,229.7899932861328,172.1199951171875,161.56561279296875,413.1199951171875,206.27999877929688,229.7899932861328,172.1199951171875,161.77999877929688,413.1199951171875,206.27999877929688,232.9199981689453,174.2899932861328,165.97000122070312,422.04998779296875,214.88999938964844,228.8800048828125,170.80999755859375,160.25,410.6000061035156,205.97000122070312,230.10000610351562,173.22000122070312,164.30999755859375,414.94000244140625,209.8000030517578,51906300,26407800,19699800,17045200,62308800
2024-08-30,229.0,178.5,163.1634979248047,417.1400146484375,214.11000061035156,229.0,178.5,163.3800048828125,417.1400146484375,214.11000061035156,230.39999389648438,178.89999389648438,163.66000366210938,417.489990234375,214.57000732421875,227.47999572753906,172.60000610351562,161.69000244140625,412.1300048828125,207.02999877929688,230.19000244140625,172.77999877929688,162.6199951171875,415.6000061035156,208.6300048828125,52990800,43429400,22123800,24308300,63370600
2024-09-03,222.77000427246094,176.25,157.15147399902344,409.44000244140625,210.60000610351562,222.77000427246094,176.25,157.36000061035156,409.44000244140625,210.60000610351562,229.0,178.25999450683594,161.85000610351562,419.8800048828125,219.89999389648438,221.1699981689453,175.25999450683594,156.47999572753906,407.0299987792969,209.63999938964844,228.5500030517578,177.5500030517578,161.72000122070312,417.9100036621094,215.25999450683594,50190600,37817500,38945300,20313600,76714200
2024-09-04,220.85000610351562,173.3300018310547,156.24267578125,408.8999938964844,219.41000366210938,220.85000610351562,173.3300018310547,156.4499969482422,408.8999938964844,219.41000366210938,221.77999877929688,175.97999572753906,159.0,411.239990234375,222.22000122070312,217.47999572753906,172.5399932861328,155.9600067138672,404.3699951171875,210.57000732421875,221.66000366210938,174.47999572753906,156.66000366210938,405.9100036621094,210.58999633789062,43840200,30309200,19353800,15135800,80651800
2024-09-05,222.3800048828125,177.88999938964844,157.03163146972656,408.3900146484375,230.1699981689453,222.3800048828125,177.88999938964844,157.24000549316406,408.3900146484375,230.1699981689453,225.47999572753906,179.8800048828125,159.4499969482422,413.1000061035156,235.0,221.52000427246094,175.0,155.97999572753906,406.1300048828125,222.25,221.6300048828125,175.0,156.3000030517578,407.6199951171875,223.49000549316406,36615400,40170500,18688700,14195500,119355000
2024-09-06,220.82000732421875,171.38999938964844,150.72000122070312,401.70001220703125,210.72999572753906,220.82000732421875,171.38999938964844,150.9199981689453,401.70001220703125,210.72999572753906,225.24000549316406,178.3800048828125,157.8300018310547,410.6499938964844,233.60000610351562,219.77000427246094,171.16000366210938,150.5500030517578,400.79998779296875,210.50999450683594,223.9499969482422,177.24000549316406,157.3000030517578,409.05999755859375,232.60000610351562,48423000,41466500,37912100,19609500,112177000
2024-09-09,220.91000366210938,175.39999389648438,148.7100067138672,405.7200012207031,216.27000427246094,220.91000366210938,175.39999389648438,148.7100067138672,405.7200012207031,216.27000427246094,221.27000427246094,175.85000610351562,153.39999389648438,408.6499938964844,219.8699951171875,216.7100067138672,173.50999450683594,147.22000122070312,402.1499938964844,213.6699981689453,220.82000732421875,174.52999877929688,152.50999450683594,407.239990234375,216.1999969482422,67180000,29037400,39260500,15295100,67443500
2024-09-10,220.11000061035156,179.5500030517578,148.66000366210938,414.20001220703125,226.1699981689453,220.11000061035156,179.5500030517578,148.66000366210938,414.20001220703125,226.1699981689453,221.47999572753906,180.5,151.27000427246094,416.3299865722656,226.39999389648438,216.72999572753906,176.7899932861328,148.33999633789062,407.70001220703125,218.63999938964844,218.9199981689453,177.49000549316406,150.4499969482422,408.20001220703125,220.07000732421875,51591000,36233800,31118800,19594300,78891100
